date,ticker,company,sector,open_price,high_price,low_price,close_price,volume,daily_return,sma_10,sma_20,volatility_20d,rsi_14,target_next_day_direction
2026-02-27,AFRIBANK,African Heritage Bank Plc,Banking,41.82558706550159,42.72745475036947,41.2134458262219,42.51412734141248,16481440,0.01646217839889743,41.74186375953308,42.02970828908443,0.01200638952182829,55.93729118065007,0
2026-03-02,AFRIBANK,African Heritage Bank Plc,Banking,42.51412734141248,43.24521505397406,42.29863607993127,42.41380980286812,12550581,-0.002359628312225815,41.83799599962067,42.05977262391762,0.01196812808070521,51.31214206489211,0
2026-03-03,AFRIBANK,African Heritage Bank Plc,Banking,42.41380980286812,42.98100585223459,41.42147362436895,42.17996187774239,3832441,-0.005513485494762375,41.86818186156778,42.05114222922061,0.0116910307059267,49.75758357113313,1
2026-03-04,AFRIBANK,African Heritage Bank Plc,Banking,42.17996187774239,44.47785207932266,41.70769435551534,43.61527712957609,7934075,0.0340283676878114,42.01070825445769,42.0927251917056,0.01382114220309819,60.52715990225749,1
2026-03-05,AFRIBANK,African Heritage Bank Plc,Banking,43.61527712957609,47.26158705315976,42.64612475552413,46.45119251998283,13413836,0.06502114802530232,42.41511049760649,42.26232487333645,0.01989538193743462,71.16529862256347,1
2026-03-06,AFRIBANK,African Heritage Bank Plc,Banking,46.45119251998283,48.21382337132556,45.78513026744614,48.006291263578,15722940,0.03347812314885514,43.06421780025691,42.54658169379296,0.02028274198150895,82.18947423650107,1
2026-03-09,AFRIBANK,African Heritage Bank Plc,Banking,48.006291263578,51.25528953574467,47.37701353767081,50.08598443870443,6036001,0.04332126311753375,43.92591065900118,42.95958191726645,0.02138383528258804,84.67888527075772,1
2026-03-10,AFRIBANK,African Heritage Bank Plc,Banking,50.08598443870443,52.26470718013474,49.41707651292152,51.31203749056134,874980,0.02447896483610831,44.9642927495001,43.41164533863316,0.02165290513566447,85.77752061522854,1
2026-03-11,AFRIBANK,African Heritage Bank Plc,Banking,51.31203749056134,52.10202455890666,50.88111945908956,51.98017968020827,1958730,0.01302115882203722,46.03844486101356,43.9002936180214,0.02149127188222916,86.26346719256198,0
2026-03-12,AFRIBANK,African Heritage Bank Plc,Banking,51.98017968020827,52.23580503286688,47.17169352667563,48.0813957894395,726632,-0.0750052022666105,46.66402573340734,44.19720728533553,0.02874497949368622,70.25837750066272,1
2026-03-13,AFRIBANK,African Heritage Bank Plc,Banking,48.0813957894395,50.15632096048457,47.11251106432294,49.57521083439283,16755145,0.03106846256076081,47.37013408270538,44.55599892111923,0.02924127760134927,72.95875705079439,0
