date,ticker,company,sector,open_price,high_price,low_price,close_price,volume,daily_return,sma_10,sma_20,volatility_20d,rsi_14,target_next_day_direction,target
2026-02-27,AFRIBANK,African Heritage Bank Plc,Banking,41.82558706550159,42.72745475036947,41.2134458262219,42.51412734141248,16481440,0.0,42.51412734141248,42.51412734141248,0.01200638952182829,50.0,0,0
2026-03-02,AFRIBANK,African Heritage Bank Plc,Banking,42.51412734141248,43.24521505397406,42.29863607993127,42.41380980286812,12550581,-0.0023596283122255812,42.4639685721403,42.4639685721403,0.01196812808070521,50.0,0,0
2026-03-03,AFRIBANK,African Heritage Bank Plc,Banking,42.41380980286812,42.98100585223459,41.42147362436895,42.17996187774239,3832441,-0.005513485494762493,42.369299674007664,42.369299674007664,0.0116910307059267,50.0,1,1
2026-03-04,AFRIBANK,African Heritage Bank Plc,Banking,42.17996187774239,44.47785207932266,41.70769435551534,43.61527712957609,7934075,0.0340283676878117,42.68079403789977,42.68079403789977,0.01382114220309819,50.0,1,1
2026-03-05,AFRIBANK,African Heritage Bank Plc,Banking,43.61527712957609,47.26158705315976,42.64612475552413,46.45119251998283,13413836,0.06502114802530201,43.43487373431638,43.43487373431638,0.01989538193743462,50.0,1,1
2026-03-06,AFRIBANK,African Heritage Bank Plc,Banking,46.45119251998283,48.21382337132556,45.78513026744614,48.006291263578,15722940,0.03347812314885523,44.19677665585999,44.19677665585999,0.02028274198150895,50.0,1,1
2026-03-09,AFRIBANK,African Heritage Bank Plc,Banking,48.006291263578,51.25528953574467,47.37701353767081,50.08598443870443,6036001,0.043321263117533926,45.03809205340919,45.03809205340919,0.02138383528258804,50.0,1,1
2026-03-10,AFRIBANK,African Heritage Bank Plc,Banking,50.08598443870443,52.26470718013474,49.41707651292152,51.31203749056134,874980,0.02447896483610812,45.82233523305321,45.82233523305321,0.02165290513566447,50.0,1,1
2026-03-11,AFRIBANK,African Heritage Bank Plc,Banking,51.31203749056134,52.10202455890666,50.88111945908956,51.98017968020827,1958730,0.01302115882203747,46.50654017162599,46.50654017162599,0.02149127188222916,50.0,0,0
2026-03-12,AFRIBANK,African Heritage Bank Plc,Banking,51.98017968020827,52.23580503286688,47.17169352667563,48.0813957894395,726632,-0.07500520226661045,46.66402573340734,46.66402573340734,0.02874497949368622,50.0,1,1
2026-03-13,AFRIBANK,African Heritage Bank Plc,Banking,48.0813957894395,50.15632096048457,47.11251106432294,49.57521083439283,16755145,0.0310684625607609,47.370134082705384,46.92867892440602,0.02924127760134927,50.0,0,0
2026-03-16,AFRIBANK,African Heritage Bank Plc,Banking,49.57521083439283,50.46724818026412,47.90054508773623,48.65457543156575,8904629,-0.01857047882060403,47.99421064557514,47.072503633336005,0.02904557636463623,50.0,0,0
2026-03-17,AFRIBANK,African Heritage Bank Plc,Banking,48.65457543156575,49.8629927970232,43.62485893610248,43.78911788840918,17481471,-0.09999999999999998,48.15512624664182,46.81993549911086,0.03782131136546802,50.0,0,0
2026-03-18,AFRIBANK,African Heritage Bank Plc,Banking,43.78911788840918,44.58843127912952,42.66778097262246,43.15248560527601,12251433,-0.014538595747818905,48.10884709421181,46.55797479240838,0.03800226666289407,51.45413843412485,1,1
2026-03-19,AFRIBANK,African Heritage Bank Plc,Banking,43.15248560527601,44.48859651571505,42.93680436630088,43.42614445406004,14909443,0.006341670588508652,47.80634228761953,46.349186103185154,0.03800868693688116,52.05193286464036,0,0
2026-03-20,AFRIBANK,African Heritage Bank Plc,Banking,43.42614445406004,44.28770181999752,41.03300769680209,41.82490992424594,19809272,-0.0368725925348502,47.18820415368633,46.066418842001454,0.03867079382580368,48.758866870930234,0,0
2026-03-23,AFRIBANK,African Heritage Bank Plc,Banking,41.82490992424594,41.93080455239301,40.34411430127999,40.7513091379662,4847317,-0.025668932419083745,46.2547366236125,45.753765329999375,0.03913187395051088,47.09198290523511,0,0
2026-03-24,AFRIBANK,African Heritage Bank Plc,Banking,40.7513091379662,41.06736126341509,39.55421289383886,40.56180484077534,3905320,-0.004650262806264349,45.17971335863391,45.46532308059804,0.03903096117490865,43.45260570744066,0,0
2026-03-25,AFRIBANK,African Heritage Bank Plc,Banking,40.56180484077534,41.2248791941085,39.3265980358432,39.44997093303954,11277420,-0.0274108588634131,43.92669248391703,45.14872559914759,0.03946883909212261,33.78907335740547,1,1
2026-03-26,AFRIBANK,African Heritage Bank Plc,Banking,39.44997093303954,41.02876936620389,38.83836522318103,40.04218919109977,9857672,0.015011880720151582,43.12277182408306,44.89339877874521,0.03948552660804804,30.698947050234125,1,1
2026-03-27,AFRIBANK,African Heritage Bank Plc,Banking,40.04218919109977,43.06340093614858,39.91923356970752,42.77611682051773,19662470,0.06827617781761108,42.44286242269555,44.906498252700466,0.04231856383365604,32.82899527719654,0,0
2026-03-30,AFRIBANK,African Heritage Bank Plc,Banking,42.77611682051773,43.54190545597582,41.93085313028514,42.30504311258078,16707632,-0.011012540243274138,41.807909190797055,44.9010599181861,0.04240073106236366,28.06437655951555,1,1
